,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
5.1,1.1924418277115252,3.146272819251666,4.992431360875376,-0.26232210641172304,0.04998541532981116,-0.002763913597458894,-0.026795011283833756,-0.04427261686331884,1.0501896625642113,0.18967639063725797,0.8365641345773344,0.023944164184997282,14479.349472025442,14550.796671775934,14602.86417911015,14528.779550076826,-27.260458336939035
5.2,1.1651210185972427,3.1497451755500903,4.992540039287708,-0.27064042178672126,0.018646986994956455,0.004343348437479161,0.04733367506287353,-0.015897131967932805,1.0497865199344905,0.05888040788081659,0.7009830218511375,0.013957484297865915,14430.879917502869,14423.822628374943,14628.264345229625,14616.985865065657,-27.218777624193645
5.3,1.1407246704125207,3.1496567189437203,4.993153983267914,-0.21050645392984646,-0.018782012032580165,0.006749455199264674,0.09475306968843722,0.012256890510764241,1.0505539619495803,-0.06613450393226215,0.39434782803195445,0.005554974717179409,14398.949520495622,14336.290806036759,14607.12907598971,14662.97095058431,-27.16686895496348
5.4,1.1246576279522627,3.1460500044190924,4.993699276194136,-0.11139791369966516,-0.050218831105981236,0.0036816915096727714,0.1067329316883394,0.0322471358500655,1.0511769276075196,-0.14895154699906385,0.028171197269125578,0.0037581244605308264,14408.451743263453,14319.760350078457,14561.213192011335,14662.207375839367,-27.112119319090155
5.5,1.1189971770902192,3.1399844282576983,4.9938480409972925,-0.008175680659889927,-0.06766217466890193,-0.0002559994444938135,0.08637636798943449,0.03968517637066971,1.0509063440098891,-0.1711970848900496,-0.2759758837538012,0.006407861622255509,14453.676781102793,14368.484365981774,14515.869509908742,14618.0453519554,-27.06247906661461
5.6,1.1225439488135096,3.133032872946967,4.9937426733605905,0.06982880783118058,-0.06868208065511805,-0.0012153509987370816,0.04594074115526077,0.03483675192239521,1.0501124851137027,-0.14041595333918894,-0.44032012914295476,0.007857142903591876,14505.281400445394,14443.514086863375,14480.16744600044,14548.42101379943,-27.025980441005547
5.7,1.1317884737481463,3.1267344869069893,4.9936987534986885,0.10601719304779036,-0.055964188980904564,0.0005041003410848999,0.0008325306620564022,0.021546059208266268,1.0495226999924103,-0.07703337425815557,-0.44927713096019156,0.005890894647379555,14538.350479474237,14511.734394057134,14450.854401796438,14474.310267409706,-27.007043434619646
5.8,1.1423447005325398,3.1221672629526576,4.993849237846139,0.0987818601365291,-0.035540523800769934,0.0022240189526613577,-0.035498685517100864,0.005163289801139666,1.0494346630696254,-0.004060143534594361,-0.3318335110807147,0.00264930672170598,14545.524984646981,14557.509707859143,14430.719547331904,14415.039539338228,-27.00371156733225
5.9,1.150354428633495,3.1197335101081243,4.994087346260742,0.059034058476726194,-0.014456164325039692,0.0022358598414475824,-0.054589568185151635,-0.009185817358419685,1.0496089191576514,0.05662310200334635,-0.14378340185631647,0.0008461254478406893,14532.334939733068,14575.25003655734,14427.821389920668,14386.644513851203,-27.00878621512843
6.0,1.153467023609721,3.1191757300775467,4.994252562055353,0.004660395013082677,0.0014058020918259668,0.0010407905684257656,-0.05437690790609593,-0.017878314333701878,1.0496771177200663,0.08955822834592378,0.048249423077686586,0.0010962059048827415,14509.565315621967,14565.366738637964,14443.938773907059,14393.93008353357,-27.013796939145617
6.1,1.151200866331143,3.1197761325171887,4.994300605501116,-0.045894532462276254,0.008771463798987397,0.00010019982642689985,-0.03873920193572188,-0.01958400589120813,1.049532791684533,0.09065516113221636,0.18804788448229603,0.002010303264517511,14486.272548791276,14534.781434749002,14470.383872975584,14426.4780293094,-27.012703878772058
6.2,1.1447075463661007,3.1206477571557305,4.994304208139695,-0.07892561428872973,0.007388322397993875,0.00012057436389195918,-0.015206478393358728,-0.015250684069799124,1.0493313355198775,0.06624664205580671,0.24639278997261563,0.0021374058821105727,14466.555108132696,14494.7721009513,14494.607263286907,14467.161631777017,-27.00326389811107
